Country Name,Series Name,2013
Andorra,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Andorra,(%) Benefits held by 1st 20% population - All Social Protection,NA
Andorra,(%) Generosity of Unemp benefits and ALMP,NA
Andorra,(%) Program participation - All Social Insurance,NA
Andorra,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Antigua and Barbuda,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Antigua and Barbuda,(%) Benefits held by 1st 20% population - All Social Protection,NA
Antigua and Barbuda,(%) Generosity of Unemp benefits and ALMP,NA
Antigua and Barbuda,(%) Program participation - All Social Insurance,NA
Antigua and Barbuda,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Aruba,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Aruba,(%) Benefits held by 1st 20% population - All Social Protection,NA
Aruba,(%) Generosity of Unemp benefits and ALMP,NA
Aruba,(%) Program participation - All Social Insurance,NA
Aruba,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
"Bahamas, The",(%) Benefits held by 1st 20% population - All Social Insurance,NA
"Bahamas, The",(%) Benefits held by 1st 20% population - All Social Protection,NA
"Bahamas, The",(%) Generosity of Unemp benefits and ALMP,NA
"Bahamas, The",(%) Program participation - All Social Insurance,NA
"Bahamas, The","Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Bahrain,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Bahrain,(%) Benefits held by 1st 20% population - All Social Protection,NA
Bahrain,(%) Generosity of Unemp benefits and ALMP,NA
Bahrain,(%) Program participation - All Social Insurance,NA
Bahrain,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Barbados,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Barbados,(%) Benefits held by 1st 20% population - All Social Protection,NA
Barbados,(%) Generosity of Unemp benefits and ALMP,NA
Barbados,(%) Program participation - All Social Insurance,NA
Barbados,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Bermuda,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Bermuda,(%) Benefits held by 1st 20% population - All Social Protection,NA
Bermuda,(%) Generosity of Unemp benefits and ALMP,NA
Bermuda,(%) Program participation - All Social Insurance,NA
Bermuda,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Brunei Darussalam,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Brunei Darussalam,(%) Benefits held by 1st 20% population - All Social Protection,NA
Brunei Darussalam,(%) Generosity of Unemp benefits and ALMP,NA
Brunei Darussalam,(%) Program participation - All Social Insurance,NA
Brunei Darussalam,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Cayman Islands,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Cayman Islands,(%) Benefits held by 1st 20% population - All Social Protection,NA
Cayman Islands,(%) Generosity of Unemp benefits and ALMP,NA
Cayman Islands,(%) Program participation - All Social Insurance,NA
Cayman Islands,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Channel Islands,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Channel Islands,(%) Benefits held by 1st 20% population - All Social Protection,NA
Channel Islands,(%) Generosity of Unemp benefits and ALMP,NA
Channel Islands,(%) Program participation - All Social Insurance,NA
Channel Islands,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Croatia,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Croatia,(%) Benefits held by 1st 20% population - All Social Protection,NA
Croatia,(%) Generosity of Unemp benefits and ALMP,NA
Croatia,(%) Program participation - All Social Insurance,NA
Croatia,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Curacao,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Curacao,(%) Benefits held by 1st 20% population - All Social Protection,NA
Curacao,(%) Generosity of Unemp benefits and ALMP,NA
Curacao,(%) Program participation - All Social Insurance,NA
Curacao,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Cyprus,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Cyprus,(%) Benefits held by 1st 20% population - All Social Protection,NA
Cyprus,(%) Generosity of Unemp benefits and ALMP,NA
Cyprus,(%) Program participation - All Social Insurance,NA
Cyprus,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Equatorial Guinea,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Equatorial Guinea,(%) Benefits held by 1st 20% population - All Social Protection,NA
Equatorial Guinea,(%) Generosity of Unemp benefits and ALMP,NA
Equatorial Guinea,(%) Program participation - All Social Insurance,NA
Equatorial Guinea,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Faeroe Islands,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Faeroe Islands,(%) Benefits held by 1st 20% population - All Social Protection,NA
Faeroe Islands,(%) Generosity of Unemp benefits and ALMP,NA
Faeroe Islands,(%) Program participation - All Social Insurance,NA
Faeroe Islands,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
French Polynesia,(%) Benefits held by 1st 20% population - All Social Insurance,NA
French Polynesia,(%) Benefits held by 1st 20% population - All Social Protection,NA
French Polynesia,(%) Generosity of Unemp benefits and ALMP,NA
French Polynesia,(%) Program participation - All Social Insurance,NA
French Polynesia,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Greenland,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Greenland,(%) Benefits held by 1st 20% population - All Social Protection,NA
Greenland,(%) Generosity of Unemp benefits and ALMP,NA
Greenland,(%) Program participation - All Social Insurance,NA
Greenland,"Adjusted net enrollment rate, primary, male (% of primary school age children)",NA
Guam,(%) Benefits held by 1st 20% population - All Social Insurance,NA
Guam,(%) Benefits held by 1st 20% population - All Social Protection,NA
